file;n_steps;n_parties;time_seconds_party0;data_sent_party0_mb;global_data_mb;vm_rounds;bit_triples;bit_opens;;n_steps;Tiempo medio (s)
n16_run1.log;16;3;12,4931;6,51698;19,351;24122;338595;512;;4;1,6001
n16_run2.log;16;3;12,9266;6,51698;19,351;24122;338595;512;;16;11,9872
n16_run3.log;16;3;12,1388;6,51698;19,351;24122;338595;512;;256;107,1503
n16_run4.log;16;3;11,504;6,51698;19,351;24122;338595;512;;;
n16_run5.log;16;3;10,8733;6,51698;19,351;24122;338595;512;;;
n256_run1.log;256;3;101,514;98,0328;290,701;410042;5756115;8192;;;
n256_run2.log;256;3;107,778;98,0328;290,701;410042;5756115;8192;;;
n256_run3.log;256;3;126,043;98,0328;290,701;410042;5756115;8192;;;
n256_run4.log;256;3;99,7504;98,0328;290,701;410042;5756115;8192;;;
n256_run5.log;256;3;100,666;98,0328;290,701;410042;5756115;8192;;;
n4_run1.log;4;3;1,22531;2,15146;6,41436;4826;67719;128;;;
n4_run2.log;4;3;1,16838;2,15146;6,41436;4826;67719;128;;;
n4_run3.log;4;3;3,10694;2,15146;6,41436;4826;67719;128;;;
n4_run4.log;4;3;1,32444;2,15146;6,41436;4826;67719;128;;;
n4_run5.log;4;3;1,17564;2,15146;6,41436;4826;67719;128;;;
